                  Time        error x        error y        error z
252494650.000000000000000         -0.002         -0.001         -0.006
252494660.000000000000000         -0.014         -0.003         -0.010
252494670.000000000000000         -0.005         -0.004          0.000
252494680.000000000000000         -0.001         -0.002          0.006
252494690.000000000000000          0.002         -0.005          0.005
252494700.000000000000000         -0.002         -0.003          0.001
252494710.000000000000000          0.004          0.001          0.004
252494720.000000000000000          0.003         -0.004         -0.000
252494730.000000000000000         -0.003         -0.003          0.001
252494740.000000000000000         -0.019          0.000         -0.000
252494750.000000000000000         -0.001          0.003          0.002
252494760.000000000000000          0.000          0.000          0.000
252494770.000000000000000          0.002          0.002         -0.002
252494780.000000000000000         -0.009          0.002         -0.000
252494790.000000000000000         -0.003         -0.000         -0.003
252494800.000000000000000          0.011          0.002         -0.005
252494810.000000000000000          0.002         -0.001         -0.006
252494820.000000000000000         -0.001          0.002         -0.003
252494830.000000000000000          0.017          0.006         -0.003
252494840.000000000000000          0.019          0.005         -0.004
252494850.000000000000000          0.002          0.002         -0.003
252494860.000000000000000         -0.005          0.002          0.001
252494870.000000000000000          0.013          0.006          0.015
252494880.000000000000000          0.000          0.000          0.000
252494890.000000000000000          0.004         -0.003         -0.004
252494900.000000000000000          0.001         -0.004          0.001
252494910.000000000000000         -0.008         -0.002          0.001
252494920.000000000000000          0.005         -0.002          0.005
252494930.000000000000000         -0.017         -0.004         -0.001
252494940.000000000000000         -0.013         -0.004          0.005
252494950.000000000000000         -0.007         -0.002          0.009
252494960.000000000000000         -0.002         -0.005          0.006
252494970.000000000000000         -0.012         -0.003          0.002
252494980.000000000000000         -0.021         -0.005         -0.008
252495000.000000000000000          0.000          0.000          0.000
252495010.000000000000000         -0.020          0.003          0.004
252495020.000000000000000         -0.004          0.005          0.012
252495030.000000000000000         -0.001          0.003         -0.003
252495040.000000000000000         -0.015         -0.002         -0.008
252495050.000000000000000         -0.018         -0.001         -0.001
252495060.000000000000000          0.005          0.002         -0.003
252495090.000000000000000          0.000          0.001         -0.003
252495120.000000000000000          0.000          0.000          0.000
252495130.000000000000000         -0.012         -0.007         -0.006
252495140.000000000000000         -0.016         -0.008         -0.003
252495150.000000000000000         -0.007         -0.002          0.000
252495170.000000000000000          0.019          0.001          0.002
252495180.000000000000000         -0.012         -0.005          0.001
252495190.000000000000000          0.011         -0.004         -0.000
252495210.000000000000000          0.010         -0.002         -0.001
252495220.000000000000000          0.006         -0.005          0.001
252495230.000000000000000         -0.019         -0.007          0.003
252495240.000000000000000          0.000          0.000          0.000
252495250.000000000000000          0.007          0.001         -0.005
252495260.000000000000000         -0.004         -0.001         -0.005
252495270.000000000000000         -0.001          0.002          0.003
252495280.000000000000000          0.017          0.002          0.000
252495290.000000000000000          0.005          0.003         -0.002
252495300.000000000000000          0.005          0.002          0.001
252495330.000000000000000         -0.019          0.001          0.008
252495340.000000000000000          0.006          0.005          0.007
252495350.000000000000000         -0.004          0.005          0.008
252495360.000000000000000          0.000          0.000          0.000
252495370.000000000000000         -0.022         -0.001          0.007
252495380.000000000000000         -0.024         -0.001          0.007
252495390.000000000000000         -0.025         -0.000          0.008
