                  Time      g_error x      g_error y      g_error z      d_error x      d_error y      d_error z
252804140.000000000000000       -186.064         77.900       -147.321         -0.022         -0.008          0.015
252804150.000000000000000       -200.663         83.995       -158.460          0.004         -0.006          0.038
252804160.000000000000000       -215.577         90.226       -169.819          0.025          0.005          0.045
252804170.000000000000000       -230.363         96.376       -181.043          0.014         -0.000          0.035
252804250.000000000000000         -3.171          0.979         -7.547         -0.003         -0.007          0.038
252804260.000000000000000        -36.636         14.944        -31.304         -0.004         -0.008          0.040
252804270.000000000000000        -72.638         29.974        -56.937          0.001         -0.007          0.037
252804280.000000000000000       -110.021         45.578        -83.602         -0.003         -0.007          0.036
252804290.000000000000000       -147.550         61.239       -110.417         -0.009         -0.012          0.038
252804310.000000000000000         -3.643          1.193         -7.322         -0.017         -0.007          0.023
252804320.000000000000000        -38.481         15.761        -28.606         -0.010         -0.013          0.030
252804330.000000000000000        -75.967         31.448        -51.574         -0.001         -0.008          0.037
252804340.000000000000000       -114.881         47.732        -75.474          0.012         -0.006          0.044
252804350.000000000000000       -153.969         64.081        -99.528          0.006         -0.005          0.040
252804370.000000000000000      -2044.620        863.876       -792.398         -0.002         -0.005          0.038
252804380.000000000000000      -1937.828        818.964       -750.021         -0.012         -0.002          0.044
252804390.000000000000000      -1823.902        771.019       -704.652         -0.003         -0.008          0.036
252804400.000000000000000      -1704.826        720.880       -656.954          0.008         -0.012          0.041
252804410.000000000000000      -1582.536        669.358       -607.632          0.006         -0.015          0.039
252804420.000000000000000          0.000          0.000          0.000         -0.005         -0.006          0.036
252804430.000000000000000         -4.464          1.598         -6.743          0.007         -0.012          0.032
252804440.000000000000000        -41.591         17.225        -22.818          0.006         -0.013          0.037
252804450.000000000000000        -81.549         34.043        -40.187          0.008         -0.015          0.035
252804460.000000000000000       -123.047         51.505        -58.275          0.004         -0.017          0.033
252804470.000000000000000       -164.710         69.042        -76.483          0.005         -0.016          0.031
252804480.000000000000000          0.000          0.000          0.000          0.009         -0.016          0.035
252804490.000000000000000      -2121.457        903.923       -490.319          0.004         -0.001          0.034
252804500.000000000000000      -2010.538        856.823       -463.725          0.002         -0.008          0.034
252804510.000000000000000      -1892.200        806.553       -435.179          0.001         -0.012          0.035
252804520.000000000000000      -1768.471        753.983       -405.080          0.007         -0.011          0.040
252804530.000000000000000      -1641.356        699.958       -373.837          0.003         -0.007          0.038
252804550.000000000000000         -5.258          2.005         -6.055         -0.022         -0.005          0.028
252804560.000000000000000        -43.967         18.431        -16.645          0.000         -0.015          0.022
252804570.000000000000000        -85.658         36.126        -28.083          0.004         -0.011          0.035
252804580.000000000000000       -128.956         54.502        -40.021          0.010         -0.008          0.038
252804590.000000000000000       -172.428         72.943        -52.057          0.024         -0.018          0.038
252804600.000000000000000          0.000          0.000          0.000          0.007         -0.014          0.036
252804610.000000000000000         -5.590          2.201         -5.656         -0.007         -0.003          0.038
252804620.000000000000000        -44.842         18.934        -13.411          0.014         -0.012          0.042
252804630.000000000000000        -87.134         36.956        -21.823          0.005         -0.012          0.039
252804640.000000000000000       -131.068         55.680        -30.613         -0.012         -0.005          0.033
252804650.000000000000000       -175.153         74.463        -39.472          0.008         -0.016          0.036
252804660.000000000000000          0.000          0.000          0.000          0.010         -0.019          0.037
252804720.000000000000000          0.000          0.000          0.000          0.005         -0.012          0.039
252804730.000000000000000         89.750        -38.531          6.949          0.014         -0.018          0.040
252804740.000000000000000         73.476        -31.543          6.025         -0.004         -0.017          0.041
252804750.000000000000000         55.106        -23.639          4.965         -0.006         -0.009          0.039
252804760.000000000000000         34.887        -14.950          3.785         -0.009         -0.009          0.040
252804770.000000000000000         13.184         -5.619          2.495         -0.005         -0.008          0.038
252804780.000000000000000          0.000          0.000          0.000          0.000         -0.012          0.038
252804790.000000000000000       -211.397         91.993         23.490          0.007         -0.016          0.037
252804800.000000000000000       -228.175         99.303         25.661          0.001         -0.013          0.035
252804810.000000000000000       -245.847        107.005         27.986         -0.002         -0.012          0.039
252804820.000000000000000       -263.849        114.855         30.379          0.017         -0.019          0.039
252804830.000000000000000       -281.664        122.621         32.769          0.013         -0.019          0.039
252804850.000000000000000         -6.669          2.874         -3.881          0.006         -0.011          0.037
252804860.000000000000000        -46.338         20.109         -0.114          0.008         -0.013          0.037
252804870.000000000000000        -89.066         38.663          3.887          0.005         -0.017          0.038
252804880.000000000000000       -133.458         57.936          7.995          0.003         -0.020          0.038
252804890.000000000000000       -178.063         77.305         12.083         -0.011         -0.011          0.040
252804910.000000000000000         -6.889          3.024         -3.382         -0.008         -0.009          0.041
252804920.000000000000000        -46.205         20.186          3.249          0.006         -0.015          0.033
252804930.000000000000000        -88.564         38.670         10.344          0.006         -0.018          0.035
252804940.000000000000000       -132.572         57.867         17.663          0.010         -0.022          0.033
252804950.000000000000000       -176.797         77.156         24.979          0.000         -0.020          0.035
252804970.000000000000000      -2046.647        904.354        750.355          0.014         -0.016          0.032
252804980.000000000000000      -1939.261        856.858        711.975          0.014         -0.023          0.030
252804990.000000000000000      -1824.603        806.176        671.180          0.010         -0.017          0.033
252805000.000000000000000      -1704.595        753.147        628.745          0.008         -0.014          0.041
252805010.000000000000000      -1581.116        698.607        585.405          0.017         -0.016          0.033
252805030.000000000000000       -197.868         87.478         83.400          0.005         -0.019          0.038
252805040.000000000000000       -213.483         94.400         90.312          0.009         -0.022          0.035
252805050.000000000000000       -229.931        101.701         97.628          0.008         -0.016          0.034
252805060.000000000000000       -246.704        109.146        105.121          0.004         -0.010          0.038
252805070.000000000000000       -263.264        116.493        112.544          0.010         -0.014          0.037
252805090.000000000000000         -7.292          3.386         -1.823          0.002         -0.013          0.035
252805100.000000000000000        -44.571         19.869         13.205         -0.002         -0.010          0.035
252805110.000000000000000        -84.719         37.615         29.334          0.008         -0.013          0.034
252805120.000000000000000       -126.460         56.059         46.053          0.002         -0.008          0.041
252805130.000000000000000       -168.394         74.578         62.797          0.002         -0.011          0.038
252805150.000000000000000         -7.349          3.475         -1.289          0.015         -0.018          0.030
252805160.000000000000000        -43.607         19.565         16.418          0.017         -0.017          0.029
252805170.000000000000000        -82.685         36.897         35.437          0.008         -0.014          0.031
252805180.000000000000000       -123.294         54.903         55.151          0.004         -0.011          0.034
252805190.000000000000000       -164.100         72.993         74.912          0.001         -0.008          0.034
252805210.000000000000000      -1791.213        800.653       1313.044          0.018         -0.021          0.030
252805220.000000000000000      -1697.037        758.406       1245.105          0.019         -0.021          0.032
252805230.000000000000000      -1596.439        713.314       1172.734          0.011         -0.018          0.030
252805240.000000000000000      -1491.080        666.122       1097.249          0.001         -0.015          0.037
252805250.000000000000000      -1382.594        617.573       1019.903         -0.004         -0.007          0.036
252805270.000000000000000         -7.397          3.621         -0.188          0.008         -0.016          0.035
252805280.000000000000000        -41.157         18.681         22.622          0.015         -0.020          0.026
252805290.000000000000000        -77.548         34.913         47.149          0.016         -0.017          0.028
252805300.000000000000000       -115.375         51.775         72.574          0.017         -0.018          0.017
252805310.000000000000000       -153.399         68.714         98.094          0.013         -0.022          0.023
252805330.000000000000000         -7.355          3.667          0.351          0.023         -0.019          0.022
252805340.000000000000000        -39.658         18.104         25.579          0.021         -0.016          0.021
252805350.000000000000000        -74.482         33.654         52.703          0.012         -0.015          0.023
252805360.000000000000000       -110.670         49.810         80.847          0.017         -0.019          0.031
252805370.000000000000000       -147.054         66.047        109.068          0.011         -0.018          0.026
252805390.000000000000000      -1518.551        678.259       1676.088          0.010         -0.012          0.025
252805400.000000000000000      -1438.547        642.288       1589.020          0.015         -0.013          0.020
252805410.000000000000000      -1353.042        603.888       1496.218          0.013         -0.016          0.017
252805420.000000000000000      -1263.427        563.689       1399.328          0.015         -0.018          0.020
252805430.000000000000000      -1171.085        522.312       1299.948          0.013         -0.017          0.023
252805450.000000000000000         -7.201          3.711          1.438          0.014         -0.014          0.017
252805460.000000000000000        -36.171         16.653         31.143          0.009         -0.013          0.024
252805470.000000000000000        -67.394         30.599         63.080          0.012         -0.013          0.020
252805480.000000000000000        -99.864         45.094         96.236          0.014         -0.014          0.030
252805490.000000000000000       -132.501         59.654        129.497          0.021         -0.020          0.028
252805510.000000000000000         -7.083          3.711          1.982          0.006         -0.009          0.022
252805520.000000000000000        -34.196         15.795         33.724          0.003         -0.011          0.021
252805530.000000000000000        -63.419         28.818         67.869          0.013         -0.012          0.023
252805540.000000000000000        -93.810         42.357        103.310          0.024         -0.012          0.028
252805550.000000000000000       -124.384         55.963        138.861          0.018         -0.013          0.014
252805570.000000000000000         58.349        -26.024        -74.354          0.010         -0.009          0.013
252805580.000000000000000         48.005        -21.450        -60.693          0.009         -0.015          0.004
252805590.000000000000000         36.311        -16.267        -45.238          0.010         -0.011          0.021
252805600.000000000000000         23.423        -10.552        -28.261          0.005         -0.004          0.017
252805610.000000000000000          9.573         -4.415        -10.040         -0.000         -0.003          0.017
252805630.000000000000000       -109.171         47.043        199.202          0.011         -0.016          0.023
252805640.000000000000000       -117.598         50.699        215.178          0.007         -0.016          0.009
252805650.000000000000000       -126.444         54.547        232.052          0.011         -0.011          0.020
252805660.000000000000000       -135.446         58.458        249.261          0.016         -0.010          0.011
252805670.000000000000000       -144.336         62.315        266.289          0.010         -0.009          0.008
252805690.000000000000000         -6.517          3.593          3.529          0.004         -0.009          0.016
252805700.000000000000000        -27.431         12.700         40.527          0.003         -0.010          0.025
252805710.000000000000000        -49.995         22.521         80.323          0.007         -0.010          0.017
252805720.000000000000000        -73.471         32.739        121.637          0.012         -0.006          0.009
252805730.000000000000000        -97.097         43.008        163.134          0.007         -0.007          0.022
252805750.000000000000000       -817.264        333.890       2189.697          0.007         -0.012         -0.001
252805760.000000000000000       -773.852        315.741       2075.434          0.006         -0.014         -0.004
252805770.000000000000000       -727.346        296.365       1953.575          0.010         -0.009          0.018
252805780.000000000000000       -678.467        276.046       1826.200          0.021         -0.006          0.036
252805790.000000000000000       -627.951        255.071       1695.353          0.014         -0.008          0.034
252805810.000000000000000         -5.998          3.421          4.489          0.003         -0.012          0.020
252805820.000000000000000        -22.356         10.241         44.172         -0.003         -0.011          0.025
252805830.000000000000000        -40.004         17.600         86.875          0.006         -0.011          0.022
252805840.000000000000000        -58.372         25.262        131.226          0.021         -0.008          0.030
252805850.000000000000000        -76.878         32.965        175.752          0.019         -0.008          0.032
252805870.000000000000000        -58.903         21.242        223.315          0.005         -0.010          0.021
252805880.000000000000000        -63.297         22.831        241.144          0.010         -0.010          0.019
252805890.000000000000000        -67.907         24.493        259.938          0.008         -0.010          0.017
252805900.000000000000000        -72.577         26.176        279.104          0.014         -0.011          0.002
252805910.000000000000000        -77.180         27.827        298.072          0.014         -0.014          0.004
252805920.000000000000000          0.000          0.000          0.000          0.008         -0.010          0.015
252805930.000000000000000      -1317.726        392.647       9593.862          0.010         -0.010          0.030
252805940.000000000000000      -2208.892        659.159      14515.204          0.013         -0.012          0.025
252805950.000000000000000      -3042.811        908.758      19113.858          0.010         -0.008          0.007
252805960.000000000000000      -3811.603       1139.287      23340.717          0.009         -0.005          0.007
252805970.000000000000000      -4507.874       1348.732      27148.949          0.008         -0.009          0.013
252805990.000000000000000        -32.344          6.985        229.519          0.003         -0.005          0.033
252806000.000000000000000        -34.620          7.433        247.789          0.008         -0.006          0.021
252806010.000000000000000        -36.992          7.893        267.052          0.012         -0.006          0.016
252806020.000000000000000        -39.398          8.346        286.708          0.004         -0.011          0.013
252806030.000000000000000        -41.740          8.799        306.156          0.012          0.001          0.026
252806050.000000000000000         -4.663          2.875          6.152          0.008         -0.012          0.013
252806060.000000000000000        -11.235          4.549         49.065          0.009         -0.012          0.022
252806070.000000000000000        -18.366          6.377         95.249          0.010         -0.007          0.013
252806080.000000000000000        -25.819          8.291        143.244          0.010         -0.003          0.030
252806090.000000000000000        -33.354         10.221        191.421          0.002         -0.005          0.021
252806110.000000000000000         -5.458         -7.867        231.619          0.007         -0.008          0.027
252806120.000000000000000         -5.600         -8.601        250.026          0.008         -0.007          0.025
252806130.000000000000000         -5.721         -9.391        269.418          0.010         -0.009          0.017
252806140.000000000000000         -5.822        -10.207        289.202          0.011         -0.009          0.013
252806150.000000000000000         -5.903        -11.029        308.754          0.009         -0.013          0.004
252806230.000000000000000         -3.455          2.300          7.133          0.006         -0.009          0.020
252806240.000000000000000         -2.467         -0.194         50.449          0.019          0.005          0.002
252806250.000000000000000         -1.473         -2.884         97.100          0.015         -0.005         -0.015
252806260.000000000000000         -0.470         -5.646        145.546          0.026         -0.001         -0.049
252806270.000000000000000          0.470         -8.417        194.290          0.009         -0.008         -0.005
252806280.000000000000000          0.000          0.000          0.000          0.010         -0.011          0.006
252806290.000000000000000        395.998       -335.052       2300.321          0.012         -0.009         -0.003
252806300.000000000000000        375.883       -318.289       2179.741          0.008         -0.007          0.025
252806310.000000000000000        354.604       -300.418       2050.965          0.013         -0.004          0.003
252806320.000000000000000        332.577       -281.794       1916.229          0.009         -0.009         -0.008
252806330.000000000000000        310.237       -262.733       1777.649          0.013          0.000         -0.020
252806350.000000000000000         47.305        -38.266        223.489          0.008          0.001         -0.005
252806360.000000000000000         51.340        -41.436        241.173          0.004         -0.016         -0.004
252806370.000000000000000         55.629        -44.758        259.797          0.012         -0.002         -0.004
252806380.000000000000000         60.019        -48.176        278.798          0.012         -0.004          0.006
252806390.000000000000000         64.374        -51.571        297.562          0.008         -0.010          0.004
252806460.000000000000000          0.000          0.000          0.000          0.011         -0.004          0.001
252806470.000000000000000         72.252        -53.267        213.409          0.006         -0.008         -0.003
252806480.000000000000000         78.259        -57.608        230.252          0.005         -0.006         -0.004
252806490.000000000000000         84.621        -62.192        247.986          0.012         -0.001         -0.006
252806500.000000000000000         91.123        -66.886        266.068          0.009         -0.002         -0.006
252806510.000000000000000         97.576        -71.539        283.935          0.013         -0.004         -0.004
252806530.000000000000000         -1.204          1.064          8.081          0.002         -0.012         -0.025
252806540.000000000000000         11.871         -8.545         48.300          0.002         -0.018         -0.031
252806550.000000000000000         25.909        -18.857         91.661          0.007         -0.010         -0.007
252806560.000000000000000         40.444        -29.555        136.694          0.006         -0.006         -0.009
252806570.000000000000000         55.012        -40.280        181.948          0.009          0.004         -0.007
252806580.000000000000000          0.000          0.000          0.000          0.007         -0.012         -0.007
252806590.000000000000000       1013.239       -710.778       2003.976          0.006         -0.017         -0.025
252806600.000000000000000        960.713       -674.290       1898.582          0.008         -0.018         -0.024
252806610.000000000000000        904.809       -635.357       1786.021          0.007         -0.009         -0.016
252806620.000000000000000        846.546       -594.696       1668.167          0.009         -0.004          0.001
252806630.000000000000000        786.907       -552.994       1546.830          0.009         -0.005          0.001
252806640.000000000000000          0.000          0.000          0.000          0.006          0.003         -0.010
252806650.000000000000000         -0.257          0.494          8.253          0.006         -0.007          0.002
252806660.000000000000000         17.239        -11.814         45.940          0.008          0.016         -0.012
252806670.000000000000000         36.030        -25.096         86.570          0.005         -0.009         -0.007
252806680.000000000000000         55.514        -38.842        128.786          0.003         -0.003         -0.014
252806690.000000000000000         75.058        -52.639        171.232          0.009         -0.004         -0.001
252806700.000000000000000          0.000          0.000          0.000          0.003          0.003         -0.010
252806880.000000000000000          0.000          0.000          0.000          0.009         -0.021          0.010
252806890.000000000000000        144.825        -99.685        149.936          0.001          0.010         -0.010
252806900.000000000000000        156.528       -107.721        161.636          0.007         -0.017          0.003
252806910.000000000000000        168.860       -116.160        173.917         -0.001         -0.005         -0.006
252806920.000000000000000        181.470       -124.800        186.439          0.005         -0.012         -0.002
252806930.000000000000000        193.959       -133.361        198.823          0.023         -0.031          0.027
252806950.000000000000000        152.717       -105.113        137.824         -0.014          0.000         -0.015
252806960.000000000000000        165.041       -113.554        148.547          0.002         -0.006         -0.002
252806970.000000000000000        178.033       -122.463        159.823          0.011         -0.016          0.015
252806980.000000000000000        191.321       -131.575        171.344          0.041         -0.043          0.072
252806990.000000000000000        204.398       -140.507        182.583          0.002          0.014         -0.000
252807010.000000000000000        159.907       -110.138        125.108          0.007         -0.015          0.004
252807020.000000000000000        172.779       -118.984        134.822          0.018         -0.037          0.035
252807030.000000000000000        186.337       -128.273        144.979          0.010         -0.018          0.015
252807040.000000000000000        200.191       -137.777        155.334          0.013         -0.019          0.010
252807050.000000000000000        213.892       -147.177        165.557          0.013         -0.017          0.013
252807070.000000000000000          2.883         -1.591          7.578          0.007         -0.005          0.008
252807080.000000000000000         32.597        -22.004         31.561          0.015         -0.033          0.018
252807090.000000000000000         64.554        -43.917         57.419          0.009         -0.012          0.013
252807100.000000000000000         97.724        -66.675         84.316          0.001          0.003          0.004
252807110.000000000000000        131.034        -89.551        111.385          0.004         -0.010          0.012
252807130.000000000000000        171.959       -118.820         98.030          0.007         -0.012          0.015
252807140.000000000000000        185.755       -128.331        105.550          0.017         -0.022          0.022
252807150.000000000000000        200.281       -138.340        113.428          0.007         -0.011          0.012
252807160.000000000000000        215.125       -148.580        121.453          0.014         -0.024          0.016
252807170.000000000000000        229.794       -158.686        129.357          0.008         -0.013          0.012
252807190.000000000000000        176.793       -122.434         83.797          0.013         -0.005          0.013
252807200.000000000000000        190.945       -132.220         90.175          0.012         -0.008          0.018
252807210.000000000000000        205.863       -142.539         96.858          0.008         -0.011          0.013
252807220.000000000000000        221.096       -153.074        103.654          0.012         -0.015          0.013
252807230.000000000000000        236.156       -163.474        110.349          0.011         -0.001          0.011
252807250.000000000000000       1852.881      -1287.132        654.139          0.005         -0.008          0.012
252807260.000000000000000       1755.996      -1220.041        618.978          0.002         -0.004          0.007
252807270.000000000000000       1652.664      -1148.459        581.304          0.011         -0.013          0.015
252807280.000000000000000       1544.654      -1073.603        541.662          0.020         -0.016          0.019
252807290.000000000000000       1433.690       -996.684        500.602          0.014         -0.016          0.019
252807310.000000000000000          4.381         -2.745          6.441          0.007         -0.002          0.011
252807320.000000000000000         38.138        -26.117         20.025          0.017         -0.003          0.023
252807330.000000000000000         74.460        -51.288         34.691          0.014         -0.018          0.021
252807340.000000000000000        112.181        -77.421         49.976          0.013         -0.028          0.024
252807350.000000000000000        150.064       -103.653         65.369          0.017         -0.030          0.026
252807370.000000000000000          4.714         -3.028          6.080          0.016         -0.018          0.020
252807380.000000000000000         39.087        -26.913         16.874          0.015         -0.021          0.023
252807390.000000000000000         76.087        -52.622         28.550          0.012         -0.022          0.024
252807400.000000000000000        114.508        -79.297         40.704          0.001          0.001          0.003
252807410.000000000000000        153.110       -106.122         52.991          0.009         -0.015          0.021
252807420.000000000000000          0.000          0.000          0.000          0.011         -0.017          0.023
252807430.000000000000000      -1689.530       1173.642       -467.862          0.002         -0.021          0.027
252807440.000000000000000      -1455.435       1010.484       -414.151          0.011         -0.029          0.026
252807450.000000000000000      -1216.613        844.086       -358.450          0.007         -0.020          0.024
252807460.000000000000000       -979.379        678.831       -302.277          0.014         -0.023          0.022
252807470.000000000000000       -749.738        518.903       -247.083          0.013         -0.026          0.024
252807490.000000000000000          5.292         -3.540          5.282          0.013         -0.025          0.021
252807500.000000000000000         40.446        -28.138         10.379          0.009         -0.025          0.022
252807510.000000000000000         78.296        -54.613         15.921          0.005         -0.018          0.021
252807520.000000000000000        117.611        -82.113         21.729          0.001         -0.014          0.023
252807530.000000000000000        157.100       -109.724         27.599         -0.002         -0.003          0.018
252807550.000000000000000          5.552         -3.763          4.848          0.028         -0.015          0.027
252807560.000000000000000         40.870        -28.557          7.060          0.035         -0.013          0.028
252807570.000000000000000         78.864        -55.259          9.490          0.005         -0.018          0.022
252807580.000000000000000        118.369        -82.990         12.062          0.010         -0.022          0.016
252807590.000000000000000        158.052       -110.833         14.696          0.017         -0.017          0.017
252807610.000000000000000        187.213       -132.595        -22.509          0.005         -0.018          0.024
252807620.000000000000000        202.075       -143.137        -24.603          0.012         -0.030          0.027
252807630.000000000000000        217.714       -154.220        -26.850          0.001         -0.017          0.022
252807640.000000000000000        233.659       -165.529        -29.167         -0.013         -0.009          0.018
252807650.000000000000000        249.439       -176.720        -31.475         -0.005         -0.013          0.020
252807670.000000000000000          5.952         -4.171          3.899         -0.003         -0.003          0.019
252807680.000000000000000         41.100        -29.040          0.317          0.006         -0.016          0.017
252807690.000000000000000         78.956        -55.809         -3.482          0.017         -0.019          0.017
252807700.000000000000000        118.259        -83.604         -7.378         -0.001         -0.010          0.020
252807710.000000000000000        157.773       -111.533        -11.254          0.012         -0.013          0.018
252807720.000000000000000          0.000          0.000          0.000         -0.001         -0.012          0.020
252807730.000000000000000      -1709.643       1210.889        235.125          0.002         -0.014          0.021
252807740.000000000000000      -1475.406       1044.789        191.890          0.260         -0.067         -0.038
252807750.000000000000000      -1236.722        875.298        148.759         -0.009         -0.012          0.020
252807760.000000000000000       -999.170        706.771        106.666         -0.034         -0.004          0.020
252807770.000000000000000       -768.945        543.502         66.687         -0.005         -0.007          0.011
252807790.000000000000000        179.141       -128.080        -67.927         -0.020         -0.015          0.020
252807800.000000000000000        193.326       -138.225        -73.624          0.005         -0.018          0.018
252807810.000000000000000        208.232       -148.903        -79.655         -0.000         -0.015          0.018
252807820.000000000000000        223.437       -159.805        -85.834          0.002         -0.022          0.016
252807830.000000000000000        238.462       -170.565        -91.960          0.006         -0.016          0.018
252807840.000000000000000          0.000          0.000          0.000         -0.032         -0.006          0.027
252807850.000000000000000        174.856       -125.351        -82.541         -0.034         -0.008          0.020
252807860.000000000000000        188.658       -135.265        -89.394         -0.032         -0.006          0.015
252807870.000000000000000        203.191       -145.711        -96.630         -0.029         -0.009          0.024
252807880.000000000000000        217.993       -156.355       -104.040         -0.042         -0.003          0.030
252807890.000000000000000        232.641       -166.882       -111.399         -0.030         -0.006          0.025
252807900.000000000000000          0.000          0.000          0.000         -0.026         -0.007          0.025
252807910.000000000000000       6851.054      -4981.328      -4611.966         -0.012         -0.014          0.019
252807920.000000000000000      10479.640      -7595.695      -6798.131         -0.021         -0.011          0.023
252807930.000000000000000      13870.900     -10039.134      -8839.908         -0.026         -0.007          0.025
252807940.000000000000000      16989.188     -12285.921     -10714.548         -0.015         -0.015          0.019
252807950.000000000000000      19800.548     -14311.543     -12400.258         -0.028         -0.013          0.025
252807960.000000000000000          0.000          0.000          0.000         -0.025         -0.008          0.023
252807970.000000000000000        164.077       -118.109       -110.594         -0.007         -0.010          0.012
252807980.000000000000000        176.996       -127.433       -119.656          0.005         -0.015          0.010
252807990.000000000000000        190.565       -137.243       -129.220         -0.013         -0.012          0.021
252808000.000000000000000        204.417       -147.250       -139.012         -0.010         -0.013          0.021
252808010.000000000000000        218.100       -157.134       -148.714         -0.007         -0.013          0.018
252808030.000000000000000       6275.999      -4592.647      -5704.121         -0.005         -0.010          0.029
252808040.000000000000000       9630.378      -7018.203      -8469.142         -0.009         -0.009          0.032
252808050.000000000000000      12765.525      -9285.293     -11051.947         -0.004         -0.017          0.019
252808060.000000000000000      15648.598     -11370.123     -13424.070         -0.005         -0.017          0.019
252808070.000000000000000      18248.396     -13250.086     -15558.354         -0.001         -0.019          0.015
252808090.000000000000000        150.488       -108.542       -136.643          0.002         -0.013          0.021
252808100.000000000000000        162.293       -117.084       -147.760          0.006         -0.013          0.014
252808110.000000000000000        174.701       -126.079       -159.491         -0.004         -0.017          0.018
252808120.000000000000000        187.360       -135.243       -171.484          0.002         -0.017          0.015
252808130.000000000000000        199.854       -144.297       -183.354          0.001         -0.021          0.016
252808140.000000000000000          0.000          0.000          0.000         -0.004         -0.019          0.018
252808150.000000000000000      -1426.650       1032.332       1157.783          0.020         -0.021          0.006
252808160.000000000000000      -1235.185        894.008        989.439          0.011         -0.022          0.008
252808170.000000000000000      -1039.336        752.514        818.337         -0.001         -0.018          0.016
252808180.000000000000000       -844.311        611.612        648.976         -0.003         -0.020          0.016
252808190.000000000000000       -655.058        474.883        485.615         -0.001         -0.018          0.019
252808210.000000000000000          6.392         -5.118         -0.907         -0.007         -0.016          0.023
252808220.000000000000000         33.445        -24.676        -28.302         -0.005         -0.018          0.015
252808230.000000000000000         62.612        -45.751        -57.749         -0.001         -0.018          0.016
252808240.000000000000000         92.957        -67.658        -88.298          0.022         -0.021          0.021
252808250.000000000000000        123.442        -89.675       -118.963          0.025         -0.025          0.011
252808270.000000000000000        125.504        -90.113       -170.993         -0.009         -0.010          0.021
252808280.000000000000000        135.282        -97.165       -184.793         -0.007         -0.009          0.022
252808290.000000000000000        145.576       -104.594       -199.360          0.005         -0.019          0.017
252808300.000000000000000        156.045       -112.153       -214.233          0.003         -0.021          0.018
252808310.000000000000000        166.385       -119.611       -228.949          0.007         -0.019          0.019
252808330.000000000000000       1147.444       -821.924      -1874.541          0.020         -0.020          0.021
252808340.000000000000000       1086.916       -778.239      -1776.977          0.016         -0.021          0.018
252808350.000000000000000       1022.177       -731.573      -1672.956          0.004         -0.018          0.018
252808360.000000000000000        954.291       -682.686      -1564.306          0.004         -0.015          0.016
252808370.000000000000000        884.284       -632.324      -1452.810          0.009         -0.019          0.013
252808390.000000000000000        106.287        -75.385       -190.145         -0.002         -0.018          0.018
252808400.000000000000000        114.522        -81.256       -205.443          0.005         -0.023          0.010
252808410.000000000000000        123.167        -87.418       -221.563          0.003         -0.018          0.020
252808420.000000000000000        131.970        -93.691       -238.032          0.003         -0.013          0.020
252808430.000000000000000        140.656        -99.887       -254.327          0.003         -0.014          0.017
252808440.000000000000000          0.000          0.000          0.000          0.004         -0.018          0.022
252808450.000000000000000         96.046        -67.361       -198.444          0.004         -0.015          0.031
252808460.000000000000000        103.449        -72.580       -214.375          0.004         -0.012          0.033
252808470.000000000000000        111.230        -78.074       -231.195          0.008         -0.019          0.019
252808480.000000000000000        119.147        -83.660       -248.358          0.009         -0.021          0.012
252808490.000000000000000        126.950        -89.163       -265.325          0.004         -0.017          0.016
252808510.000000000000000       -949.519        679.019       1755.496          0.019         -0.017          0.019
252808520.000000000000000       -825.813        591.549       1508.016          0.011         -0.014          0.021
252808530.000000000000000       -698.948        501.773       1255.865          0.011         -0.020          0.016
252808540.000000000000000       -572.327        412.108       1005.737          0.010         -0.022          0.022
252808550.000000000000000       -449.179        324.843        763.916          0.002         -0.019          0.023
252808680.000000000000000          0.000          0.000          0.000          0.016         -0.017          0.009
252808690.000000000000000       -656.452        447.071       1953.557          0.016         -0.016         -0.006
252808700.000000000000000       -573.677        392.324       1680.761          0.017         -0.018         -0.008
252808710.000000000000000       -488.555        335.898       1402.633          0.017         -0.017          0.008
252808720.000000000000000       -403.372        279.314       1126.541          0.015         -0.015          0.037
252808730.000000000000000       -320.298        224.017        859.385          0.020         -0.017          0.015
252808800.000000000000000          0.000          0.000          0.000          0.016         -0.014          0.010
252808810.000000000000000         28.848        -12.266       -228.593          0.012         -0.016          0.009
252808820.000000000000000         30.882        -13.079       -246.806          0.015         -0.016          0.010
252808830.000000000000000         32.999        -13.915       -266.000          0.016         -0.014          0.011
252808840.000000000000000         35.135        -14.753       -285.585          0.014         -0.013          0.010
252808850.000000000000000         37.225        -15.567       -304.945          0.009         -0.014          0.012
252808870.000000000000000          3.957         -3.738         -6.159          0.027         -0.000          0.029
252808880.000000000000000          9.791         -6.506        -48.899          0.022         -0.004          0.030
252808890.000000000000000         16.120         -9.522        -94.943          0.017         -0.013          0.003
252808900.000000000000000         22.739        -12.679       -142.747          0.014         -0.021         -0.006
252808910.000000000000000         29.428        -15.861       -190.741          0.016         -0.018          0.002
252808930.000000000000000       -236.889         99.145       2094.285          0.022         -0.010         -0.001
252808940.000000000000000       -212.169         92.947       1804.964          0.020         -0.013          0.009
252808950.000000000000000       -186.280         86.028       1509.702          0.018         -0.010          0.004
252808960.000000000000000       -159.940         78.586       1216.350          0.016         -0.012         -0.004
252808970.000000000000000       -133.840         70.836        932.346          0.015         -0.018          0.017
252808980.000000000000000          0.000          0.000          0.000          0.018         -0.012          0.002
252808990.000000000000000       -790.249       1082.807      -9563.824          0.022         -0.020          0.013
