                  Time      g_error x      g_error y      g_error z      d_error x      d_error y      d_error z
252765470.000000000000000       -741.280        589.385        -53.353         -0.006          0.008          0.037
252765490.000000000000000        173.446       -139.520         64.743         -0.022          0.015          0.040
252765500.000000000000000        187.160       -150.568         70.191         -0.019          0.015          0.048
252765510.000000000000000        201.604       -162.210         75.946         -0.013          0.011          0.040
252765520.000000000000000        216.327       -174.086         81.854         -0.011          0.003          0.044
252765530.000000000000000        230.871       -185.808         87.713         -0.013          0.009          0.044
252765550.000000000000000          6.050         -4.970         -2.507         -0.017          0.026          0.038
252765560.000000000000000         38.692        -31.217          9.012         -0.011          0.020          0.041
252765570.000000000000000         73.854        -59.491         21.361         -0.007          0.007          0.042
252765580.000000000000000        110.372        -88.847         34.139         -0.025          0.015          0.040
252765590.000000000000000        147.089       -118.352         46.935         -0.018          0.007          0.038
252765610.000000000000000          6.136         -5.125         -1.977         -0.010          0.007          0.038
252765620.000000000000000         38.085        -30.895         12.300          0.007         -0.009          0.036
252765630.000000000000000         72.472        -58.618         27.626         -0.010          0.009          0.038
252765640.000000000000000        108.222        -87.443         43.502         -0.014          0.006          0.042
252765650.000000000000000        144.142       -116.392         59.406         -0.023          0.013          0.041
252765660.000000000000000          0.000          0.000          0.000         -0.019          0.015          0.035
252765670.000000000000000        159.596       -129.304        107.655         -0.018          0.018          0.042
252765680.000000000000000        172.164       -139.512        116.481         -0.013          0.016          0.038
252765690.000000000000000        185.396       -150.265        125.813         -0.004          0.008          0.040
252765700.000000000000000        198.862       -161.220        135.356         -0.017          0.009          0.040
252765710.000000000000000        212.175       -172.043        144.803         -0.017          0.008          0.035
252765720.000000000000000          0.000          0.000          0.000         -0.014          0.011          0.035
252765730.000000000000000        153.602       -124.643        121.077         -0.021          0.016          0.031
252765740.000000000000000        165.669       -134.466        130.964         -0.024          0.016          0.033
252765750.000000000000000        178.382       -144.813        141.410         -0.014          0.012          0.037
252765760.000000000000000        191.318       -155.347        152.081         -0.025          0.020          0.032
252765770.000000000000000        204.103       -165.761        162.652         -0.026          0.020          0.031
252765790.000000000000000          6.205         -5.401         -0.345         -0.011          0.010          0.036
252765800.000000000000000         35.227        -28.976         21.793         -0.007          0.009          0.037
252765810.000000000000000         66.496        -54.373         45.584         -0.012          0.010          0.037
