                  Time        error x        error y        error z
252738190.000000000000000          0.009         -0.001          0.021
252738200.000000000000000          0.009          0.008          0.016
252738210.000000000000000          0.007          0.013          0.014
252738220.000000000000000          0.004          0.013          0.023
252738230.000000000000000          0.006          0.012          0.018
252738240.000000000000000          0.006          0.015          0.017
252738250.000000000000000          0.011          0.013          0.020
252738260.000000000000000          0.015          0.017          0.024
252738270.000000000000000          0.006          0.015          0.009
252738280.000000000000000          0.005          0.010          0.003
252738290.000000000000000          0.006          0.012          0.015
252738300.000000000000000          0.008          0.015          0.019
252738310.000000000000000          0.004          0.009          0.018
252738320.000000000000000          0.008          0.017          0.019
252738330.000000000000000          0.007          0.017          0.010
252738340.000000000000000          0.008          0.013         -0.000
252738350.000000000000000          0.009          0.016          0.007
252738360.000000000000000          0.008          0.016          0.012
252738370.000000000000000          0.010          0.022         -0.003
252738380.000000000000000          0.010          0.022          0.013
252738390.000000000000000          0.009          0.016          0.016
252738400.000000000000000          0.009          0.012          0.014
252738410.000000000000000          0.006          0.017          0.040
252738420.000000000000000          0.009          0.016          0.022
252738430.000000000000000          0.004          0.015          0.013
252738440.000000000000000          0.010          0.021          0.018
252738450.000000000000000          0.008          0.017          0.020
252738460.000000000000000          0.007          0.013          0.018
252738470.000000000000000          0.012          0.016          0.029
252738480.000000000000000          0.007          0.016          0.024
252738490.000000000000000          0.004          0.018          0.048
252738500.000000000000000          0.006          0.023          0.031
252738510.000000000000000          0.008          0.017          0.027
252738520.000000000000000          0.008          0.009          0.003
252738530.000000000000000          0.006          0.008          0.020
252738540.000000000000000          0.008          0.017          0.022
252738550.000000000000000          0.012          0.017          0.016
252738560.000000000000000          0.009          0.018          0.005
252738570.000000000000000          0.005          0.018          0.014
252738580.000000000000000          0.007          0.020          0.034
252738590.000000000000000         -0.000          0.021          0.047
252738600.000000000000000          0.006          0.018          0.024
252738610.000000000000000         -0.001          0.021          0.071
252738620.000000000000000          0.004          0.021          0.050
252738630.000000000000000          0.006          0.019          0.027
252738640.000000000000000          0.008          0.020          0.025
252738650.000000000000000          0.011          0.021          0.035
252738660.000000000000000          0.009          0.019          0.036
252738670.000000000000000          0.014          0.021          0.037
252738680.000000000000000          0.019          0.017          0.027
252738690.000000000000000          0.012          0.019          0.045
252738700.000000000000000         -0.001          0.020          0.069
252738710.000000000000000         -0.001          0.022          0.053
252738720.000000000000000          0.008          0.019          0.034
252738730.000000000000000          0.017          0.019          0.028
252738740.000000000000000          0.021          0.019          0.004
252738750.000000000000000          0.008          0.019          0.028
252738760.000000000000000         -0.001          0.016          0.054
252738770.000000000000000          0.000          0.011          0.054
252738780.000000000000000          0.007          0.019          0.041
252738790.000000000000000          0.008          0.027          0.014
252738800.000000000000000          0.004          0.027          0.049
252738810.000000000000000          0.007          0.019          0.038
252738820.000000000000000          0.015          0.016          0.044
252738830.000000000000000          0.012          0.019          0.033
252738840.000000000000000          0.010          0.021          0.037
252738850.000000000000000          0.001          0.016          0.046
252738860.000000000000000          0.000          0.019          0.054
252738870.000000000000000          0.008          0.022          0.034
252738880.000000000000000          0.009          0.026         -0.008
252738890.000000000000000          0.010          0.029          0.015
252738900.000000000000000          0.009          0.023          0.025
252738910.000000000000000          0.009          0.014          0.029
252738920.000000000000000          0.009          0.022          0.046
252738930.000000000000000          0.007          0.021          0.033
252738940.000000000000000          0.004          0.020          0.011
