                  Time        error x        error y        error z
252797670.000000000000000         -1.468         10.889       -268.255
252797680.000000000000000         -1.909         11.609       -287.954
252797690.000000000000000         -2.361         12.312       -307.440
252797700.000000000000000          0.000          0.000          0.000
252797710.000000000000000          4.604          0.198         -6.833
252797720.000000000000000          5.116          1.968        -50.024
252797730.000000000000000          5.723          3.884        -96.541
252797740.000000000000000          6.402          5.889       -144.857
252797750.000000000000000          7.117          7.919       -193.398
252797760.000000000000000          0.000          0.000          0.000
252797770.000000000000000      -1914.000        104.651      -9466.360
252797780.000000000000000      -2693.279        223.790     -14391.171
252797790.000000000000000      -3420.251        335.344     -18993.482
252797800.000000000000000      -4086.068        438.257     -23224.522
252797810.000000000000000      -4682.189        531.535     -27037.822
252797820.000000000000000          0.000          0.000          0.000
252797830.000000000000000          3.663          0.044         -7.354
252797840.000000000000000         -1.570          1.235        -50.288
252797850.000000000000000         -7.143          2.524        -96.516
252797860.000000000000000        -12.896          3.876       -144.521
252797870.000000000000000        -18.628          5.246       -192.764
252797880.000000000000000          0.000          0.000          0.000
252797890.000000000000000        314.388        -48.159       2087.110
252797900.000000000000000        260.359        -41.948       1801.623
252797910.000000000000000        206.091        -35.573       1510.043
252797920.000000000000000        152.986        -29.187       1220.111
252797930.000000000000000        102.341        -22.960        939.216
252797940.000000000000000          0.000          0.000          0.000
252797950.000000000000000        452.653        -35.675       2062.139
252797960.000000000000000        379.736        -31.112       1780.807
252797970.000000000000000        306.177        -26.417       1493.411
252797980.000000000000000        233.878        -21.710       1207.607
252797990.000000000000000        164.637        -17.115        930.608
252798000.000000000000000          0.000          0.000          0.000
252798010.000000000000000          2.114         -0.126         -7.960
252798020.000000000000000        -11.540          0.329        -49.017
252798030.000000000000000        -26.179          0.823        -93.258
252798040.000000000000000        -41.352          1.350       -139.224
252798050.000000000000000        -56.551          1.892       -185.409
252798060.000000000000000          0.000          0.000          0.000
252798070.000000000000000          1.584         -0.179         -8.079
252798080.000000000000000        -14.783          0.081        -48.164
252798090.000000000000000        -32.340          0.356        -91.324
252798100.000000000000000        -50.537          0.652       -136.168
252798110.000000000000000        -68.785          0.964       -181.248
252798120.000000000000000          0.000          0.000          0.000
252798130.000000000000000       -117.992         -0.185       -198.755
252798140.000000000000000       -127.630         -0.261       -214.389
252798150.000000000000000       -137.811         -0.343       -230.850
252798160.000000000000000       -148.213         -0.424       -247.626
252798170.000000000000000       -158.527         -0.504       -264.202
252798180.000000000000000          0.000          0.000          0.000
252798190.000000000000000      -5977.566       -153.668      -7598.999
252798200.000000000000000      -8892.748       -185.337     -11653.194
252798210.000000000000000     -11615.894       -214.748     -15442.499
252798220.000000000000000     -14117.108       -241.516     -18927.265
252798230.000000000000000     -16367.829       -265.278     -22069.775
252798240.000000000000000          0.000          0.000          0.000
252798250.000000000000000      -1500.575        -19.292      -1813.242
252798260.000000000000000      -1422.781        -17.995      -1717.728
252798270.000000000000000      -1339.885        -16.688      -1615.681
252798280.000000000000000      -1253.356        -15.387      -1508.794
252798290.000000000000000      -1164.654        -14.116      -1398.714
252798300.000000000000000          0.000          0.000          0.000
252798310.000000000000000         -0.615         -0.320         -8.222
252798320.000000000000000        -26.974         -0.647        -42.599
252798330.000000000000000        -55.313         -0.997        -79.622
252798340.000000000000000        -84.718         -1.345       -118.126
252798350.000000000000000       -114.220         -1.693       -156.836
252798360.000000000000000          0.000          0.000          0.000
252798370.000000000000000         -1.163         -0.348         -8.163
252798380.000000000000000        -29.766         -0.761        -40.701
252798390.000000000000000        -60.515         -1.205        -75.770
252798400.000000000000000        -92.428         -1.660       -112.234
252798410.000000000000000       -124.452         -2.111       -148.892
252798420.000000000000000          0.000          0.000          0.000
252798430.000000000000000         -1.688         -0.363         -8.040
252798440.000000000000000        -32.405         -0.842        -38.612
252798450.000000000000000        -65.440         -1.362        -71.570
